Date,^MXX,BIMBOA.mx,ELEKTRA.MX,GMEXICOB.MX,WALMEX.MX
2019-08-19,39556.3203125,33.72932052612305,1373.018798828125,39.06848907470703,55.39168930053711
2019-08-20,39700.05078125,33.18720626831055,1371.9923095703125,40.36948776245117,55.775875091552734
2019-08-21,40076.0390625,32.6648063659668,1362.963623046875,41.85358428955078,56.63290786743164
2019-08-22,40144.23828125,32.88165283203125,1397.5931396484375,41.429561614990234,55.58871078491211
2019-08-23,39862.0703125,32.50709915161133,1395.8790283203125,41.275367736816406,55.26362991333008
2019-08-26,40081.71875,32.3592529296875,1385.305908203125,41.381370544433594,54.56045150756836
2019-08-27,40648.96875,32.79294204711914,1394.3543701171875,42.47035598754883,54.936805725097656
2019-08-28,40941.9609375,33.24634552001953,1394.7530517578125,43.95446014404297,55.105167388916016
2019-08-29,41831.30078125,34.1038703918457,1389.6009521484375,44.19538497924805,55.76872634887695
2019-08-30,42622.5,34.56713104248047,1382.9342041015625,44.4844970703125,56.184688568115234
2019-09-02,42108.23046875,34.68540954589844,1394.892578125,43.79063034057617,55.451805114746094
2019-09-03,41826.55078125,33.7096061706543,1395.321044921875,43.65570831298828,55.75882339477539
2019-09-04,42324.46875,36.025909423828125,1389.2620849609375,43.7809944152832,57.01661682128906
2019-09-05,42731.48046875,36.50888442993164,1395.1217041015625,44.00264358520508,58.37344741821289
2019-09-06,42707.66015625,36.74544143676758,1390.77685546875,43.356964111328125,57.60094451904297
2019-09-09,42662.46875,36.3807487487793,1380.602294921875,42.69200897216797,57.4622917175293
2019-09-10,42588.1015625,36.76515579223633,1375.9783935546875,43.356964111328125,56.00642013549805
2019-09-11,42749.171875,36.21318817138672,1391.1356201171875,43.95446014404297,56.26392364501953
2019-09-12,42670.41015625,35.631649017333984,1400.3236083984375,44.78324508666992,57.779212951660156
2019-09-13,42841.4609375,36.203330993652344,1388.445068359375,43.99300765991211,57.11565399169922
2019-09-17,43448.94140625,35.71049880981445,1381.4693603515625,45.592750549316406,56.184688568115234
2019-09-18,43070.33984375,35.33594512939453,1389.810302734375,44.8603401184082,54.966514587402344
2019-09-19,43017.4609375,35.552791595458984,1394.6434326171875,44.10865020751953,54.65949249267578
2019-09-20,43559.44921875,36.538455963134766,1458.5208740234375,44.33993911743164,54.481224060058594
2019-09-23,43507.94921875,37.3565559387207,1424.6688232421875,45.44819641113281,54.629783630371094
2019-09-24,43099.328125,36.15404510498047,1411.9031982421875,44.523040771484375,54.65949249267578
2019-09-25,43014.078125,35.661216735839844,1380.8812255859375,45.506019592285156,55.16459274291992
2019-09-26,42984.75,35.552791595458984,1390.497802734375,44.57122802734375,56.392669677734375
2019-09-27,42857.578125,35.5330810546875,1393.4874267578125,44.80251693725586,57.78911590576172
2019-09-30,43011.26953125,35.473941802978516,1394.882568359375,44.4652214050293,57.917869567871094
2019-10-01,42937.16015625,35.72035598754883,1388.63427734375,44.20501708984375,57.917869567871094
2019-10-02,42222.8984375,34.97125244140625,1399.05810546875,41.554840087890625,56.84825134277344
2019-10-03,42443.30859375,34.77412033081055,1389.89990234375,41.44883346557617,57.630653381347656
2019-10-04,43416.8984375,35.26694869995117,1395.0020751953125,43.62679672241211,58.3536376953125
2019-10-07,42952.2890625,34.478424072265625,1396.6763916015625,43.21240997314453,57.323638916015625
2019-10-08,42535.140625,34.22215270996094,1386.1728515625,42.34507369995117,55.085357666015625
2019-10-09,42501.921875,34.527706146240234,1392.321533203125,42.402896881103516,54.81795120239258
2019-10-10,42929.76171875,34.88254165649414,1388.913330078125,44.14720153808594,54.837764739990234
2019-10-11,43214.6015625,35.12895965576172,1394.882568359375,45.245819091796875,54.6099739074707
2019-10-14,43299.53125,34.33057403564453,1391.2950439453125,45.024169921875,55.33295440673828
2019-10-15,43244.62890625,34.71498107910156,1395.3907470703125,45.39037322998047,55.441898345947266
2019-10-16,43538.48828125,34.419281005859375,1388.225830078125,46.16133499145508,56.02622604370117
2019-10-17,43479.98046875,34.57699203491211,1381.5390625,45.52529525756836,56.36296081542969
2019-10-18,43178.62890625,33.571617126464844,1380.4827880859375,45.84331512451172,56.016326904296875
2019-10-21,43405.4296875,33.71946334838867,1382.067138671875,47.15394973754883,56.16488265991211
2019-10-22,43363.5390625,33.27591323852539,1388.714111328125,46.35407638549805,56.125267028808594
2019-10-23,43546.48046875,33.12806701660156,1383.27294921875,46.74919128417969,56.580848693847656
2019-10-24,43776.6015625,33.43362045288086,1383.3228759765625,46.739559173583984,58.1357536315918
2019-10-25,43389.16015625,35.37537384033203,1383.0238037109375,48.04055404663086,57.72969436645508
2019-10-28,43765.48828125,35.5330810546875,1394.613525390625,48.32966613769531,57.87825012207031
2019-10-29,43851.05859375,36.4201774597168,1394.493896484375,49.47647476196289,58.066429138183594
2019-10-30,43741.62109375,36.430030822753906,1389.2919921875,49.39937210083008,58.016910552978516
2019-10-31,43337.28125,35.2275276184082,1393.20849609375,48.830787658691406,57.175079345703125
2019-11-01,43814.55078125,35.887916564941406,1394.7430419921875,49.129539489746094,58.47248458862305
2019-11-04,43815.76171875,36.016056060791016,1397.174560546875,50.63291549682617,56.838348388671875
2019-11-05,43611.83984375,36.36103439331055,1392.5904541015625,50.922027587890625,55.89747619628906
2019-11-06,43818.51171875,35.67107009887695,1396.347412109375,50.73892593383789,56.90767288208008
2019-11-07,44119.8984375,36.19347381591797,1390.119140625,51.230411529541016,56.02622604370117
2019-11-08,43702.23046875,35.35565948486328,1389.02294921875,50.90275192260742,55.649879455566406
